"SLCO2A1","SLCO2A1_level","la_score"
0,"-",0.254126757693092
0,"-",0.809252088852659
0,"-",0.283065009170573
1.55804594130162,"+",0.281434685143672
2.39926002598991,"+",0.369268392092928
0,"-",0.359486447931526
0,"-",0.439779906256368
0,"-",0.37823517424088
0,"-",0.215610352557571
1.79929908775394,"+",0.396780110046872
1.79803695374719,"+",0.364988791522315
2.03746185594607,"+",0.285306704707561
0,"-",0.356429590381088
0,"-",0
2.12715767699375,"+",0
1.76826240437732,"+",0.722233543916853
1.19969651259972,"+",0.642347666598737
1.78698381180541,"+",0.303240269003464
0,"-",0.417362950886489
0,"-",0.378846545750968
