,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
HG.5.88.01_1143,0.0132259206205357,34413,43.3589083357897,33.2348041538805,0.0422079379803182,0.383633581446709
TW.37_1149,8.66729955431299e-05,24128,10.5210801913103,135920.561618872,0.000837078667482334,-13.6571932657223
ZG.10_1161,0.0105638565694869,34652,4583452.91997123,7.77322774579368,0.0365748618962422,19.1694896378939
AZ20_1184,1.47192583249964e-05,23603,97809681.3892881,396.074891837323,0.000234868165446682,17.9138444992458
KU.60019_1185,4.52357228714047e-09,21148,28.8693959021687,53.0888812503893,4.15037757345138e-07,-0.878868820452348
SB505124_1194,0.00488145801801273,25236,117.181924447282,140.719563359701,0.021584278224225,-0.264072863128613
Tamoxifen_1199,0.0087823382282533,34754,62.705034200925,42.0222989944252,0.0328889605078466,0.57742618032279
QL.XII.61_1203,9.32384382698213e-05,36818,65.0643635606518,48.3197439068298,0.000877397611410883,0.429254771946771
CHIR.99021_1241,0.0146542451497545,26637,64.4855480451724,76.7523087227998,0.0455771861861008,-0.251234275485249
Talazoparib_1259,0.0076916741770104,26277,47.1561271353613,1812.5890631301,0.0300302598187534,-5.26446283798938
rTRAIL_1261,3.67516238271455e-05,23221,0.794156684797696,1.01839780485571,0.000465098136019393,-0.358805634555666
Trametinib_1372,0.00752219496735215,34838,41.4346166142511,6.69457356976795,0.0296843607851424,2.62977250632986
Dabrafenib_1373,0.00245333062762527,28190,173.786572145881,96.5696074319881,0.0125051713935899,0.847675496760185
Temozolomide_1375,0.0120932998595598,34576,361.104830053009,292.714304190033,0.0400548065376891,0.302924469324135
Doxorubicin_1386,0.000154699706071923,24225,18.2060394136143,3.06637711400976e+22,0.0013517807649618,-70.5126080192954
Gemcitabine_1393,0.00127469631690647,24987,689.701716027551,133.10094108009,0.00757941954328047,2.37345178455937
AZD5438_1401,0.0148835444329116,26646,2.95836162477742,3.12168305551206,0.0459013513183073,-0.0775256522700153
AZD4877_1409,0.00164223466299426,21966,43481.2936051865,17.2916870119737,0.00873478436694049,11.2961005189669
FGFR_0939_1421,0.00478420501419297,26027,11.9957576004751,15.8525769908242,0.0214122346366929,-0.40219310863766
FGFR_3831_1422,1.02260299554742e-06,22714,32.6823301340246,119.056436131723,2.3455956210369e-05,-1.86506286279882
BPTES_1425,0.00518573729205112,34921,56.1667137758989,47.1202741260653,0.022390183366856,0.253367463429235
AZD5582_1427,0.00241619515993717,25112,39.6496764203688,58.9774427370624,0.012489346812633,-0.572854176280661
JAK1_3715_1433,0.010974131851069,34079,103.555331823939,86.6985151993013,0.0376402466293674,0.256322645349515
AZD8186_1444,0.000421060327183164,36207,9.77930530890154,12.8863878541702,0.00315365591992288,-0.398044033312828
AZD1208_1449,0.0113661193231401,26492,40.1176131310181,47.1104349266023,0.0386237573295595,-0.231810878334294
PLK_6522_1451,1.33527438044948e-05,19690,4756.08246897312,2583208.44877097,0.000222748044374982,-9.08517461810661
PARP_0108_1459,0.00612954512340376,26156,14.0515223018915,1248380.59219858,0.025562989321468,-16.4389718719093
PARP_9482_1460,0.00182434849767084,35551,0.845380017888064,0.795753525850698,0.00956479855207426,0.0872783678047158
TTK_3146_1464,0.000962944172210823,24993,42.8896905778532,120.154524269822,0.00609311226209262,-1.48618815939963
SN.38_1494,0.00148974545747415,25457,1875.73965411019,616.466473717254,0.00841133204450787,1.60536525940583
Olaparib_1495,0.000501884534181113,24971,66.6270695645788,71.8639253864389,0.00363690073485455,-0.109159299642644
Cisplatin_1496,0.000158594393767054,24494,16.5019586163081,590.732671175735,0.00135358470959322,-5.16179623101965
Selumetinib_1498,0.00393496310447315,34564,88.2178327379371,23.488534828535,0.0185145058889955,1.90911359443623
Refametinib_1526,0.000284751017415932,36371,182.915575962196,14.9465057376015,0.00222348134875844,3.61329778221117
Pictilisib_1527,2.51248748493973e-11,41252,2.37170394890094,2.21705902392695,3.0736096899096e-09,0.0972767557529927
