,p.value,statistic.t,mean_case,mean_control,p.adjust,log2FC
PF.00299804_363,0.0230281670014743,-2.29016917732565,6.74592475624682,7.56980740732045,0.0338053491581643,-0.166240368630591
TWS119_366,0.027866700819492,2.21841475327589,13.5604512092126,12.0042063062358,0.0404232379476426,0.175865164722912
Torin.2_371,0.00830466721004808,2.66666700017955,0.337302938419925,0.276005897505188,0.013462336952688,0.289345792618229
GSK1059615_374,3.57548946176212e-05,4.23638577436828,1.1123885986974,0.845645848689801,0.000122766675188418,0.395535360053841
Voxtalisib_375,9.91475610522626e-05,3.96866691610172,79.0506285317632,70.1096626331918,0.000288786943699844,0.173163640873116
Brivanib..BMS.540215_376,0.00342738001298405,2.96743313087739,81.4716045207374,72.9646575912343,0.00604734838829398,0.159099496491343
AST.1306_381,0.016635770043055,-2.41359083501213,5.06209581156936,5.66369949637723,0.0250218344500048,-0.162009907217387
Apitolisib_382,0.0084516246549692,2.66792634543269,1.38010625320578,1.10862241709851,0.0134944595574405,0.31601125783619
LIMK1.inhibitor.BMS4_406,0.00832684056746639,2.66936398628615,153.078138371399,142.875526757745,0.013462336952688,0.0995094437632671
kb.NB.142.70_407,0.0019687582348823,3.15029334188165,13.0494457538631,10.8841415180669,0.00374370089223732,0.261760912769532
Sphingosine.Kinase.1.Inhibitor.II_408,3.70002866894227e-05,4.21777125186604,33.7439513581426,30.9336298438158,0.000125732455694612,0.125452787130083
eEF2K.Inhibitor..A.484954_409,0.000349171198223809,3.63664040371993,283.131164840008,262.740714697712,0.000826747288697665,0.107830778451135
Venotoclax_412,2.09220798136681e-07,5.38323024006309,3.10495164243658,2.7264977303153,1.70631184258138e-06,0.187521845121861
CPI.613_415,0.0003136690721058,3.66814467222543,195.260415477871,175.937834555548,0.000752395748123063,0.15033374533598
Ara.G_427,2.29984422718087e-06,4.8617652635666,234.89117826616,205.857811766774,1.2057754733934e-05,0.190344335315215
Alisertib_431,3.57930088423998e-05,4.25333147486857,6.96995002806818,5.18771135905263,0.000122766675188418,0.426050101355748
Flavopiridol_432,0.000148279725757685,3.86917747523981,0.310367211465331,0.264916397047285,0.000394338111254134,0.228439010694886
C.75_435,2.25354602235264e-07,5.37602384928217,115.197200106584,84.1148229531913,1.79793780479004e-06,0.453673688366799
CAP.232..TT.232..TLN.232_436,2.67278793663511e-06,4.84680028979583,64.9664287697732,51.9907379466724,1.38156784893674e-05,0.321439769143941
Panobinostat_438,0.00231716945984559,3.09042773837702,0.0484529056329357,0.0427464493015036,0.00429495551395622,0.180778595337832
LCL161_439,0.00405187592027845,2.90947317610562,43.7272827370643,40.459518589464,0.00701433237142543,0.112054546512615
IMD.0354_442,5.54820435242677e-05,4.16293071185352,1.51921526409951,1.13963480432888,0.000174033418576122,0.414754718741993
MIM1_446,3.93427896912643e-06,4.75396638952035,35.7585637865496,27.5693120362911,1.95118970495865e-05,0.375225526186686
CD532_449,0.00597892589162747,2.77929484655751,1.34859408119158,1.1879552076376,0.00988408019021298,0.182975731260187
NSC319726_461,0.0084835753204349,2.67395648401411,0.0672512707030725,0.0454244571793759,0.0134944595574405,0.566092253033055
ARRY.520_474,0.000249003301494044,3.75420803293955,0.0719582430158066,0.0456686417631455,0.000613316856700096,0.655956078161632
LDN.193189_478,4.72065624659941e-05,4.15899054452096,2.51842571793311,2.24080993235564,0.00015331688871699,0.168501895440218
FTY.720_546,3.20717732286788e-07,5.28250094823554,9.30724758342486,8.31614354412257,2.30790995586767e-06,0.162439924468483
BAM7_552,0.000113552434856725,3.93789139480451,140.390936827189,123.58271031893,0.000323052275910216,0.183972884091298
Vinblastine_1004,8.28249144700071e-05,4.02612663164436,0.0192454589842375,0.0148364732680333,0.000245135029116876,0.375369884183893
Cisplatin_1005,1.69211350799462e-05,4.42571554436703,20.4331519973619,15.9493092391682,6.46880893160442e-05,0.357417827355636
Tretinoin_1009,1.18886956580354e-08,5.93386215661633,61.2718387496846,48.2580024005077,2.07769109833285e-07,0.344455949174917
Navitoclax_1011,1.92069998033566e-08,5.90988253454175,6.03324118477265,4.39198936032287,2.73050380839906e-07,0.4580586972844
Vorinostat_1012,2.19013238733604e-06,4.8910768067555,3.31619235253713,2.58558296117194,1.16489650167004e-05,0.359038095429618
Nilotinib_1013,8.76759794109817e-07,5.06548774424614,19.4398739222179,16.8196439926217,5.18985232965005e-06,0.208871692746372
Refametinib_1014,0.000272455077308067,3.73423008187454,7.98727488250543,5.61685915153204,0.000662192141536825,0.507939738646399
CI.1040_1015,0.00083707309698466,3.40506969506639,11.9898259856097,9.79342479714874,0.00178608038717076,0.291925351333484
