Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,Annotation,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
Epi,HMDB0001358,Retinal,Endo,RARA,0.192938725,0.596333333,0.136212625,Nuclear Receptor,-925.9041254,0,-29.26503045,9.16E-137,-1.730321351,0.041786439,0,0,0,3.34E-135,0.12528449,0
Oligo,HMDB0001358,Retinal,Mast,RARA,0.199188844,0.432061069,0.136011478,Nuclear Receptor,-323.7091571,0,-10.2314679,9.79E-24,-1.730321351,0.041786439,0,0,0,1.02E-22,0.12528449,0
Myeloid,HMDB0000641,L-Glutamine,Endo,SLC3A2,5.021788995,0.850333333,0.450403417,Transporter,-3164.984767,0,-100.0356009,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Endo,HMDB0000305,Vitamin A,Epi,RARA,0.010805296,0.058376839,0.196333333,Nuclear Receptor,-133.6082697,0,-4.222953516,1.32E-05,-1.730321351,0.041786439,0,0,0,5.60E-05,0.12528449,0
Endo,HMDB0000305,Vitamin A,Endo,RARA,0.012124905,0.058376839,0.136212625,Nuclear Receptor,-136.5214279,0,-4.315029639,8.77E-06,-1.730321351,0.041786439,0,0,0,3.81E-05,0.12528449,0
T,HMDB0001358,Retinal,Myeloid,RARA,0.168752503,0.281666667,0.283333333,Nuclear Receptor,-899.1971191,0,-28.42090272,5.47E-131,-1.730321351,0.041786439,0,0,0,1.90E-129,0.12528449,0
Endo,HMDB0000305,Vitamin A,pDC,RARA,0.007713396,0.058376839,0.090592334,Nuclear Receptor,-120.7382223,0,-3.816170222,7.19E-05,-1.730321351,0.041786439,0,0,0,0.00028471,0.12528449,0
Oligo,HMDB0000305,Vitamin A,B,RARA,0.175507143,0.14351145,0.061,Nuclear Receptor,-289.6902636,0,-9.156233518,1.48E-19,-1.730321351,0.041786439,0,0,0,1.38E-18,0.12528449,0
Oligo,HMDB0000305,Vitamin A,T,RARA,0.200211705,0.14351145,0.069666667,Nuclear Receptor,-320.4727007,0,-10.1291733,2.54E-23,-1.730321351,0.041786439,0,0,0,2.62E-22,0.12528449,0
Fibro,HMDB0000248,Thyroxine,Endo,THRB,0.016997889,0.088487585,0.028476507,Nuclear Receptor,-2663.261654,0,-84.17764999,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Fibro,HMDB0000248,Thyroxine,Epi,THRB,0.018867302,0.088487585,0.058166667,Nuclear Receptor,-3643.482575,0,-115.1594702,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Epi,HMDB0001358,Retinal,NK,RARA,0.083014165,0.596333333,0.042,Nuclear Receptor,-582.6871359,0,-18.41697894,9.68E-66,-1.730321351,0.041786439,0,0,0,1.98E-64,0.12528449,0
Mast,HMDB0000641,L-Glutamine,Endo,SLC3A2,5.078323309,0.810329986,0.450403417,Transporter,-2902.080536,0,-91.72599293,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Oligo,HMDB0000641,L-Glutamine,Endo,SLC3A2,5.668421064,0.850381679,0.450403417,Transporter,-1992.854808,0,-62.98811619,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Oligo,HMDB0000641,L-Glutamine,Epi,SLC3A2,3.164744508,0.850381679,0.3895,Transporter,-1026.419408,0,-32.44201469,1.41E-158,-1.730321351,0.041786439,0,0,0,5.92E-157,0.12528449,0
pDC,HMDB0000305,Vitamin A,Endo,RARA,0.044909551,0.039488966,0.136212625,Nuclear Receptor,-137.2431863,0,-4.337842241,7.92E-06,-1.730321351,0.041786439,0,0,0,3.46E-05,0.12528449,0
Endo,HMDB0000305,Vitamin A,B,RARA,0.006598433,0.058376839,0.061,Nuclear Receptor,-123.9382,0,-3.917311846,4.78E-05,-1.730321351,0.041786439,0,0,0,0.000192586,0.12528449,0
Endo,HMDB0000305,Vitamin A,T,RARA,0.007527235,0.058376839,0.069666667,Nuclear Receptor,-125.6216289,0,-3.970519944,3.84E-05,-1.730321351,0.041786439,0,0,0,0.000156299,0.12528449,0
Myeloid,HMDB0001403,Prostaglandin D2,Mast,PTGDR2,0.03104495,0.235,0.010903874,Receptor,-108.3226085,0,-3.423750202,0.000321358,-1.730321351,0.041786439,0,0,0,0.001181883,0.12528449,0
Oligo,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.968981534,0.93129771,0.065688488,Receptor,-3561.369279,0,-112.5641171,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Myeloid,HMDB0006247,25-Hydroxycholesterol,Epi,NR1H3,0.069264337,0.050666667,0.092666667,Nuclear Receptor,-434.5415165,0,-13.73454374,9.48E-40,-1.730321351,0.041786439,0,0,0,1.37E-38,0.12528449,0
Endo,HMDB0006247,25-Hydroxycholesterol,Myeloid,NR1H3,0.07770772,0.019458946,0.224333333,Nuclear Receptor,-295.2767604,0,-9.332805794,3.23E-20,-1.730321351,0.041786439,0,0,0,3.07E-19,0.12528449,0
Fibro,HMDB0006247,25-Hydroxycholesterol,Fibro,NR1H3,0.096349811,0.095259594,0.123250564,Nuclear Receptor,-556.4929759,0,-17.58906073,7.73E-61,-1.730321351,0.041786439,0,0,0,1.48E-59,0.12528449,0
Epi,HMDB0006247,25-Hydroxycholesterol,Fibro,NR1H3,0.105043284,0.068,0.123250564,Nuclear Receptor,-770.5412806,0,-24.35448058,1.61E-103,-1.730321351,0.041786439,0,0,0,4.76E-102,0.12528449,0
Fibro,HMDB0001220,Prostaglandin E2,Epi,PTGER1,0.08559003,0.788036117,0.021833333,Receptor,-161.410478,0,-5.101697277,2.01E-07,-1.730321351,0.041786439,0,0,0,1.01E-06,0.12528449,0
Myeloid,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.35502274,0.756833333,0.065688488,Receptor,-1208.557471,0,-38.19884826,7.72E-198,-1.730321351,0.041786439,0,0,0,4.05E-196,0.12528449,0
Epi,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.466063046,0.785666667,0.065688488,Receptor,-1653.657798,0,-52.26712409,2.15E-288,-1.730321351,0.041786439,0,0,0,1.84E-286,0.12528449,0
Fibro,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.495512692,0.788036117,0.065688488,Receptor,-1758.37393,0,-55.57688446,3.21E-308,-1.730321351,0.041786439,0,0,0,3.02E-306,0.12528449,0
Endo,HMDB0000030,Biotin,pDC,SLC5A6,0.055925948,0.075462743,0.041811847,Transporter,-272.0653335,0,-8.599162755,1.53E-17,-1.730321351,0.041786439,0,0,0,1.33E-16,0.12528449,0
