HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-NJ-A4YG_T_LUAD	-0.455489460242972	Cold	7.2427	11.0449	1.9684	0.3348	53.9899
TCGA-55-8507_T_LUAD	-0.759969820274089	Cold	4.1045	3.6045	1.2116	0.2837	93.7869
TCGA-05-4433_T_LUAD	0.576553867236353	Hot	6.7493	4.9322	1.3373	0.7676	40.4791
TCGA-55-A4DG_T_LUAD	-0.0977361870549378	Cold	4.8395	3.4277	3.1532	1.3189	44.4358
TCGA-49-4494_T_LUAD	-0.0924111101653731	Cold	7.6997	3.7775	0.6472	0.1502	63.8366
TCGA-NJ-A7XG_T_LUAD	-0.836960398384331	Cold	2.796	3.3457	0.5524	0.1404	25.4362
TCGA-44-6147_T_LUAD	-0.403537288781997	Cold	2.9669	2.4275	2.3747	0.7497	13.9795
TCGA-49-AARO_T_LUAD	0.32343384565644	Hot	16.022	13.3208	4.7182	0.6285	30.5173
TCGA-44-6774_T_LUAD	-0.0706711604496197	Cold	6.5899	2.0037	0.5719	0.8327	88.0029
TCGA-49-AAR4_T_LUAD	0.477497248954412	Hot	15.2907	3.7764	4.4093	2.0067	82.7858
TCGA-91-6848_T_LUAD	0.56139501514288	Hot	56.9461	1.0808	0.7423	1.1889	21.5444
TCGA-50-8460_T_LUAD	0.25268150748853	Hot	4.4206	10.1754	4.5973	0.578	66.0164
TCGA-55-8091_T_LUAD	0.15457875824715	Hot	27.9723	9.6944	1.1504	0.6766	18.3799
TCGA-50-6673_T_LUAD	-0.462496332713273	Cold	2.9099	3.9678	3.2384	0.1601	181.0857
TCGA-49-AARE_T_LUAD	-0.36367426992553	Cold	2.3074	0.8225	3.5644	0.4773	9.7933
TCGA-55-6985_T_LUAD	0.697286160841241	Hot	12.5041	3.4698	2.0083	0.5854	51.0284
TCGA-55-6642_T_LUAD	0.35294313785936	Hot	4.1346	1.093	0.3072	0.9463	31.903
TCGA-50-6591_T_LUAD	-0.841325660698215	Cold	0.9381	0.4979	0	0.1916	52.1132
