SLCO2A1	PTGDR	PTGDS	HPGDS
TCGA-91-6840_T_LUAD	75.5375	0.2546	1.574	1.4093
TCGA-55-7907_T_LUAD	38.0818	1.2099	1.5152	2.7452
TCGA-49-4510_T_LUAD	39.2165	0.0827	1.8993	1.075
TCGA-MP-A4SV_T_LUAD	62.8292	1.5152	2.4745	2.5979
TCGA-55-7726_T_LUAD	8.4771	0.8171	0.4592	6.3122
TCGA-35-3615_T_LUAD	12.7378	0.3176	0.6396	4.414
TCGA-97-A4M6_T_LUAD	25.6684	0.8837	5.2215	6.8539
TCGA-86-7955_T_LUAD	5.9687	0.091	0.5625	0.4379
TCGA-L9-A443_T_LUAD	61.605	0.4139	1.5818	4.0244
TCGA-53-7813_T_LUAD	36.3802	0.6583	0.4708	0.6913
TCGA-55-A491_T_LUAD	217.2401	0.613	1.778	1.8559
TCGA-86-8056_T_LUAD	34.8295	0.7621	3.217	11.9425
TCGA-78-8655_T_LUAD	55.6581	0.7582	1.8666	7.4027
TCGA-L9-A444_T_LUAD	36.9058	1.8397	3.9497	1.2941
TCGA-86-8055_T_LUAD	112.0362	0.6464	0.5448	10.0846
TCGA-55-6970_T_LUAD	24.1828	0.5818	1.7188	1.8722
TCGA-49-6745_T_LUAD	78.8884	0.3352	0.4453	7.7888
TCGA-05-4405_T_LUAD	42.1508	0.7227	2.6806	3.7046
TCGA-MP-A4TH_T_LUAD	25.2051	1.6849	8.6636	4.1358
TCGA-99-7458_T_LUAD	43.6322	0.6116	3.5658	8.2789
TCGA-55-8508_T_LUAD	13.4609	0.724	0.4489	0.1442
TCGA-55-1594_T_LUAD	72.4278	0.404	1.0847	0.713
TCGA-44-7669_T_LUAD	21.471	0.4269	0.8943	2.1016
TCGA-49-6742_T_LUAD	12.8837	0.2561	1.6909	1.1093
TCGA-86-6562_T_LUAD	61.1168	0.434	0.8014	4.8344
TCGA-95-7944_T_LUAD	3.0007	1.3135	2.3554	0.1918
TCGA-05-4398_T_LUAD	219.7431	0.521	0.9644	8.5991
TCGA-78-7161_T_LUAD	37.4877	0.1138	0.2924	0.1409
TCGA-50-5933_T_LUAD	185.7941	0.9586	0.2972	12.7903
TCGA-55-7728_T_LUAD	21.907	1.0845	2.345	18.7565
TCGA-55-8087_T_LUAD	165.0657	0.2137	3.4228	18.2833
TCGA-91-7771_T_LUAD	35.6465	1.7224	2.7827	3.2252
TCGA-67-6216_T_LUAD	7.2388	0.1683	1.5451	13.2871
TCGA-95-A4VP_T_LUAD	24.1958	0.4313	4.3015	1.1416
TCGA-73-4675_T_LUAD	19.2923	0.2475	1.0045	8.5769
TCGA-64-1676_T_LUAD	41.5728	0.4354	0.5709	5.5531
TCGA-55-6981_T_LUAD	177.2616	0.2422	0.6807	5.3049
TCGA-75-5147_T_LUAD	52.904	0.4706	1.0744	16.3504
TCGA-L9-A7SV_T_LUAD	44.6398	0.4029	0.4528	1.9568
TCGA-78-7160_T_LUAD	69.1669	1.4815	1.295	4.0404
TCGA-55-1595_T_LUAD	117.1579	0.4352	1.2651	3.0337
TCGA-62-8402_T_LUAD	72.8335	0.3575	0.9581	0.1191
TCGA-78-8648_T_LUAD	43.8959	1.5765	6.7387	2.5748
TCGA-55-A57B_T_LUAD	27.3375	0.7364	6.4601	13.5861
TCGA-38-6178_T_LUAD	63.0637	0.3548	1.3671	2.6344
TCGA-78-7535_T_LUAD	11.5937	0.18	0.3794	8.7414
TCGA-55-6986_T_LUAD	31.3264	0.6136	1.0344	4.0422
TCGA-91-6849_T_LUAD	17.5946	0.2687	1.8551	2.1061
TCGA-55-7903_T_LUAD	10.3778	0.6983	0.6727	4.2488
TCGA-55-A493_T_LUAD	283.393	1.84	3.6633	3.9471
TCGA-86-8280_T_LUAD	70.3663	1.1608	9.6417	6.154
TCGA-91-6828_T_LUAD	101.7292	0.7259	2.1212	4.402
TCGA-55-A48X_T_LUAD	100.2734	1.9155	6.0903	3.6028
TCGA-50-5932_T_LUAD	23.8375	0.145	1.8471	2.5475
TCGA-NJ-A55O_T_LUAD	18.4463	0.3543	1.536	8.697
TCGA-44-3917_T_LUAD	1.5523	0.157	0.7858	0.2266
TCGA-05-5423_T_LUAD	9.2419	0.2216	1.9215	21.6686
TCGA-05-5420_T_LUAD	3.4079	0.8767	2.5518	1.6229
TCGA-62-A46Y_T_LUAD	23.6791	0.9433	1.5107	10.4191
TCGA-05-4384_T_LUAD	42.0562	0.2519	3.1544	6.4943
TCGA-97-A4M1_T_LUAD	55.0277	0.8317	9.1954	9.2494
TCGA-95-7567_T_LUAD	19.273	0.3962	0.3224	1.6372
TCGA-55-7910_T_LUAD	11.7264	0.8247	0.3476	0.5954
TCGA-55-8619_T_LUAD	60.5573	1.5509	3.9944	5.2871
TCGA-55-8302_T_LUAD	7.9997	0.4119	1.6358	2.498
TCGA-MN-A4N5_T_LUAD	31.9939	0.849	1.5825	0.7474
